Author ID,Author Name,Author URL
4125784,M. Lumley,https://www.semanticscholar.org/author/4125784
48315533,C. Chlebowski,https://www.semanticscholar.org/author/48315533
5135272,S. Magana,https://www.semanticscholar.org/author/5135272
38742791,Blanche Wright,https://www.semanticscholar.org/author/38742791
1397211138,L. Brookman-Frazee,https://www.semanticscholar.org/author/1397211138
7889631,Isha W. Metzger,https://www.semanticscholar.org/author/7889631
38424057,S. Carter,https://www.semanticscholar.org/author/38424057
1402456237,Colleen A. Halliday-Boykins,https://www.semanticscholar.org/author/1402456237
21164657,R. E. Anderson,https://www.semanticscholar.org/author/21164657
47645728,Maryam M. Jernigan,https://www.semanticscholar.org/author/47645728
7270754,Tiarney D. Ritchwood,https://www.semanticscholar.org/author/7270754
10727632,Dana Saifan,https://www.semanticscholar.org/author/10727632
37458304,Miya L. Barnett,https://www.semanticscholar.org/author/37458304
7904565,Jeffrey S. Mintert,https://www.semanticscholar.org/author/7904565
144771615,C. K. Lam,https://www.semanticscholar.org/author/144771615
5221442,Charles Jardin,https://www.semanticscholar.org/author/5221442
49943468,A. H. Rogers,https://www.semanticscholar.org/author/49943468
4350259,J. Bakhshaie,https://www.semanticscholar.org/author/4350259
8431874,Nubia A. Mayorga,https://www.semanticscholar.org/author/8431874
4978199,A. Viana,https://www.semanticscholar.org/author/4978199
49225188,Lorra Garey,https://www.semanticscholar.org/author/49225188
8455909,Sannisha K. Dale,https://www.semanticscholar.org/author/8455909
12752806,Gary K. Daffin,https://www.semanticscholar.org/author/12752806
49540217,Kinjal N. Patel,https://www.semanticscholar.org/author/49540217
3159615,D. Klein,https://www.semanticscholar.org/author/3159615
144291306,K. Mayer,https://www.semanticscholar.org/author/144291306
5234686,D. Pantalone,https://www.semanticscholar.org/author/5234686
46172557,Femke Van Der Werf,https://www.semanticscholar.org/author/46172557
1484968422,Caroline Ng Tseung-Wong,https://www.semanticscholar.org/author/1484968422
5335245,Cara Streit,https://www.semanticscholar.org/author/5335245
4523567,L. Crockett,https://www.semanticscholar.org/author/4523567
1831587,A. Krieg,https://www.semanticscholar.org/author/1831587
2796189,Y. Xu,https://www.semanticscholar.org/author/2796189
34787759,Bianca L. Bernstein,https://www.semanticscholar.org/author/34787759
6130910,T. Tracey,https://www.semanticscholar.org/author/6130910
1401746803,Jenny Zhen-Duan,https://www.semanticscholar.org/author/1401746803
